string_id	ENGLISH	FR	ITALIAN	GERMAN	SPANISH	RUSSIAN	PORTUGUESE	KOREAN	CHINESE - SIMPLIFIED	CHINESE - TRADITIONAL	JAPANESE	ARABIC	THAI
ui_resume_body	Would you like to resume {name0} at wave {number0} with {number1} gold and {number2} lives?	Voulez-vous reprendre {name0}  à vague {number0} avec {number1} or et {number0} vies?	Vuoi ricominciare {name0} all'ondata {number0}  con {number1}  oro e {number2}  vite?	Möchten Sie {name0} an der Welle {number0} {number1} Gold und {number2} Leben fortsetzen?	 ¿Quieres retomar {name0} en wave {number0} con {number1} gold y {number2} vidas?	Вы хотите возобновить {name0} на волне {number0} с {number1} золота и {number2} жизней?	 Gostaria de retomar {name0} na onda {número 0} com {number1} ouro e {número2} vidas?	{name0} 목숨과 {number0} 골드로  라운드 웨이브에서 {number0}를 다시 시작 하겠습니까?	你想继续在{name0}第{number0}波，{number1}金币{number2}生命值的游戏进度吗？	 你想以{number1}金和{number2}生活的wave {number0}恢復{name0}嗎？	ウェーブ {name0} で  {number0} 金と {number1} 人生を再開 {number2} しますか？	هل تود الاستمرار بالمستوى {number1}مع {number0}قطعة ذهبية و  {name0} من المحاولات	คุณต้องการกลับไปที่ {name0} รอบที่ {number0} ด้วย {number1} ทอง และ {number2} ชีวิต?
ui_star	To earn 3 stars, complete wave {number0} with more than {number1} health	Pour gagner 3 étoiles, complétez la vague {nombre0} avec plus de {nombre1} de santé	Per guadagnare 3 stelle, completa wave {number0} con più di {number1} salute	Um 3 Sterne zu verdienen, komplett Welle {number0} mit mehr als {number1} Gesundheit	 Para ganar 3 estrellas, complete wave {number0} con más de {number1} salud	Чтобы заработать 3 звезды, завершите волну {number0} с более чем {number1}-мя здоровьем	 Para ganhar 3 estrelas, complete a onda {número0} com mais de {número1} de saúde	 별 3 개를 얻으려면 {number0}의 물결을 {number1} 건 이상의 건강으로 완성하십시오.	击败第{number0}波敌人并且保持{number2}以上的生命值以获得3颗星星的评价	要獲得3顆星，完整的波浪{number0}超過{number1}健康	 3つ星を獲得するには、波数{number0}を{number1}以上の健康状態で完了します	 لكسب 3 نجوم، موجة كاملة {number0} مع أكثر من {number1} الصحة	 หากต้องการได้รับ 3 ดาวให้กรอก wave {number0} ที่มีมากกว่า {number1} สุขภาพ
ui_collect_trinkets	Collect more {name0} trinkets to unlock!	Rassemblez les Bibelots pour débloquer les Tours.	Collezione le Cianfrusaglie per sbloccare le Torri	Sammeln Schmuck Türme zu entsperren.	Colecciona Baratijas para desbloquear Torres.	Собирай Брелоки, чтобы открыть Башни.	Colete Bijuterias para desbloquear Torres.	타워를 열기 위해 트링케트를 모으세요.	收集更多{name0}小饰品解锁！	 收集更多{name0}小飾品解鎖！	タワーのロックを解除するために小物を収集します。	اجمع الحلي لفتح الابراج	เก็บ Trinkets เพื่อปลดล็อคหอคอย
ui_trinket	Trinket	Bibelots	Cianfrusaglie	Trinkets	Baratijas	Брелоки	Bijuterias	트링케트	饰品	飾品	小物	الحلي	Trinkets
													
tower_name_archer	Archer	Archer	Arciere	Archer	Arquero	Лучник	Лучник	아처	弓箭手	射擊者	射手	رامي السهام	นักธนู
tower_desc_archer_0	The frontline all-rounder.	La ligne de front Tout autour.	Circondano la linea di frontiera	Die frontlinie Allrounder.	La primera línea versatil.	Линия фронта	Линия фронта	최전선 만능이	前线全能手	前線全方位	フロントラインオールラウンド。	الخط الامامي- مستدير	พลแนวหน้าผู้เก่งรอบด้าน
tower_desc_archer_1	Improved {距离|距离}  `Increased {speed|speed}	Improved {距离|距离}  `Increased {speed|speed}	Improved {距离|距离}  `Increased {speed|speed}	Improved {距离|距离}  `Increased {speed|speed}	Improved {距离|距离}  `Increased {speed|speed}	Improved {距离|距离}  `Increased {speed|speed}	Improved {距离|距离}  `Increased {speed|speed}	Improved {距离|距离}  `Increased {speed|speed}	强化{射程|range}  `提高{攻速|speed}	Improved {距离|距离}  `Increased {speed|speed}	Improved {距离|距离}  `Increased {speed|speed}	Improved {距离|距离}  `Increased {speed|speed}	Improved {距离|距离}  `Increased {speed|speed}
tower_desc_archer_2	Improved {距离!|距离} `Increased {speed!|speed}	Improved {距离!|距离} `Increased {speed!|speed}	Improved {距离!|距离} `Increased {speed!|speed}	Improved {距离!|距离} `Increased {speed!|speed}	Improved {距离!|距离} `Increased {speed!|speed}	Improved {距离!|距离} `Increased {speed!|speed}	Improved {距离!|距离} `Increased {speed!|speed}	Improved {距离!|距离} `Increased {speed!|speed}	强化{射程!|range} `提高{攻速!|speed}	Improved {距离!|距离} `Increased {speed!|speed}	Improved {距离!|距离} `Increased {speed!|speed}	Improved {距离!|距离} `Increased {speed!|speed}	Improved {距离!|距离} `Increased {speed!|speed}
tower_desc_archer_3	More {damage|damage}	More {damage|damage}	More {damage|damage}	More {damage|damage}	More {damage|damage}	More {damage|damage}	More {damage|damage}	More {damage|damage}	提高{伤害|damage}	More {damage|damage}	More {damage|damage}	More {damage|damage}	More {damage|damage}
tower_desc_archer_4	Improved {距离!|距离} `Gain {fire arrows|ability}	Improved {距离!|距离} `Gain {fire arrows|ability}	Improved {距离!|距离} `Gain {fire arrows|ability}	Improved {距离!|距离} `Gain {fire arrows|ability}	Improved {距离!|距离} `Gain {fire arrows|ability}	Improved {距离!|距离} `Gain {fire arrows|ability}	Improved {距离!|距离} `Gain {fire arrows|ability}	Improved {距离!|距离} `Gain {fire arrows|ability}	强化{射程!|range} `获得{火焰箭矢|ability}能力	Improved {距离!|距离} `Gain {fire arrows|ability}	Improved {距离!|距离} `Gain {fire arrows|ability}	Improved {距离!|距离} `Gain {fire arrows|ability}	Improved {距离!|距离} `Gain {fire arrows|ability}
tower_name_bee	Bee	abeille	Ape	Biene	Abeja	Пчела	Abelha	벌	蜜蜂	蜜蜂	蜂	نحلة	ผึ้ง
tower_desc_bee_0	Shoots stingers in 4 directions. She's a real buzz kill.	Tire les stingers dans 4 directions. Elle est une vraie mort.	Spara pungiglioni in 4 direzioni. E' una vera guastafeste.	Schießt stingers in 4 Richtungen. Sie ist eine echte Buzz töten.	Dispara aguijone en 4 direciones. Ella es una verdadera aguafiestas.	Стреляет жалом в 4-х направлениях. Настоящее, убийственное жужжание.	Atira ferrões em 4 direções. Ela é uma verdadeira estraga prazeres.	네 방향에서 쏨. 맞으면 아픔	朝四个方向释放尖刺，这也使她变得有些吵闹	 拍攝四個方向	4方向にスティンガーを撃つ。 彼女は本当のバズ殺す。	اطلق الابر في 4 اتجاهات,انها قاتلة للطنين	ยิงเหล็กใน 4 ทิศทาง. เธอเป็นผู้ทำลายล้างเสียงหึ่ง
tower_desc_bee_1	Increased {speed|speed}	Increased {speed|speed}	Increased {speed|speed}	Increased {speed|speed}	Increased {speed|speed}	Increased {speed|speed}	Increased {speed|speed}	Increased {speed|speed}	提高{攻速|speed}	Increased {speed|speed}	Increased {speed|speed}	Increased {speed|speed}	Increased {speed|speed}
tower_desc_bee_2	Improved {距离!|距离} `Increased {speed|speed}	Improved {距离!|距离} `Increased {speed|speed}	Improved {距离!|距离} `Increased {speed|speed}	Improved {距离!|距离} `Increased {speed|speed}	Improved {距离!|距离} `Increased {speed|speed}	Improved {距离!|距离} `Increased {speed|speed}	Improved {距离!|距离} `Increased {speed|speed}	Improved {距离!|距离} `Increased {speed|speed}	强化{射程!|range} `提高{攻速|speed}	Improved {距离!|距离} `Increased {speed|speed}	Improved {距离!|距离} `Increased {speed|speed}	Improved {距离!|距离} `Increased {speed|speed}	Improved {距离!|距离} `Increased {speed|speed}
tower_desc_bee_3	More {damage|damage} 	More {damage|damage} 	More {damage|damage} 	More {damage|damage} 	More {damage|damage} 	More {damage|damage} 	More {damage|damage} 	More {damage|damage} 	提高{伤害|damage} 	More {damage|damage} 	More {damage|damage} 	More {damage|damage} 	More {damage|damage} 
tower_desc_bee_4	Improved {距离|距离}	Improved {距离|距离}	Improved {距离|距离}	Improved {距离|距离}	Improved {距离|距离}	Improved {距离|距离}	Improved {距离|距离}	Improved {距离|距离}	强化{射程|range}	Improved {距离|距离}	Improved {距离|距离}	Improved {距离|距离}	Improved {距离|距离}
tower_name_dayne	Duck	canard	Anatra	Ente	Pato	Утка	Pato	오리	鸭子	鴨子	鴨	بطة	เป็ด
tower_desc_dayne_0	Lays precious Golden Eggs. Tap on them to collect Coins!	Permet de précieux oeufs d'or. Appuyez dessus pour collecter des pièces!	Depone prezione Uova d'Oro. Premici sopra per collezionare Monete!	Kostbare goldene Eier legt. Tippen Sie auf Sie Münzen zu sammeln!	Pone preciosos Huevos Dorados. ¡Presionalos para recolectar Monedas!	Откладывает прекрасные Золотые Яйца. Нажми на них, чтобы собрать монеты!	Bota preciosos ovos dourados. Aperte neles para coletar moedas!	황금 알을 낳음. 코인을 얻으려면 탭하세요!	随时间生产珍贵的金蛋，记得多点点它收取金币哦！	 用金蛋製造硬幣	貴重な黄金の卵を産む コインを収集するためにそれらをタップ！	بيض ذهبي ثمين..اضغط عليه لجمع العملات	วางไข่ทองคำ แตะมันเพื่อเก็บเหรียญ!
tower_desc_dayne_1	Quack! (More {gold|ability})	coin! (More {gold|ability})	Quack!	Quack! (Mehr {gold|ability})	Quack! (More {gold|ability})	Кря! (More {gold|ability})	Quack! (More {gold|ability})	꽥 (More {gold|ability})	呱！ (更多{金币|ability})	Quack! (More {gold|ability})	キック！(More {gold|ability})	Quack! (More {gold|ability})	Quack! (More {gold|ability})
tower_desc_dayne_2	Quack! Quack! (More {gold|ability})	coin! coin! (More {gold|ability})	Quack! Quack! (More {gold|ability})	Quack! Quack! (Mehr {gold|ability})	Quack! Quack! (More {gold|ability})	Кря! Кря!(More {gold|ability})	Quack! Quack! (More {gold|ability})	꽥꽥 (More {gold|ability})	呱！ 呱！ (更多{金币|ability})	Quack! Quack! (More {gold|ability})	キック！キック！ (More {gold|ability})	Quack! Quack! (More {gold|ability})	Quack! Quack! (More {gold|ability})
tower_desc_dayne_3	Quack! Quack! Quack! (More {gold|ability})	coin! coin! coin! (More {gold|ability})	Quack! Quack! Quack! (More {gold|ability})	Quack! Quack! Quack! (Mehr {gold|ability})	Quack! Quack! Quack! (More {gold|ability})	Кря! Кря! Кря!(More {gold|ability})	Quack! Quack! Quack! (More {gold|ability})	꽥꽥꽥 (More {gold|ability})	呱！ 呱！ 呱！ (更多{金币|ability})	Quack! Quack! Quack! (More {gold|ability})	キック！キック！キック！(More {gold|ability})	Quack! Quack! Quack! (More {gold|ability})	Quack! Quack! Quack! (More {gold|ability})
tower_desc_dayne_4	....Quack! (More {gold|ability})	....coin! (More {gold|ability})	....Quack! (More {gold|ability})	....Quack! (Mehr {gold|ability})	....Quack! (More {gold|ability})	…...Кря!(More {gold|ability})	....Quack! (More {gold|ability})	.....꽥 (More {gold|ability})	....呱！ (更多{金币|ability})	....Quack! (More {gold|ability})	....キック！(More {gold|ability})	....Quack! (More {gold|ability})	....Quack! (More {gold|ability})
tower_name_dragon	Dragon	Dragon	Drago	Dragon	Dragón	Дракон	Dragão	드래곤	火龙	龍	ドラゴン	تنين	มังกร
tower_desc_dragon_0	Releases a massive ring of fire, turning Bad-Blocks into Burnt-Blocks.	Libère une énorme bague de feu, transformant les Mal-Morceaux en Boutons-brûlés.	Rilascia un potente anello di fuoco, trasformando Block Malvagi in Block Bruciati.	Releases ein massiver Ring aus Feuer, drehen in Bad-Blocks Burnt-Blocks.	Libera un anillo masivo de fuego, convirtiendo a los Blocks Malos en Blocks Rostizados.	Испускает огромное кольцо огня, превращая Плохие Биты в Поджаренные Биты.	Solta destruídoras bolas de fogo, transformando Bad-Bints em torradas!	나쁜 비트를 태워진 비트로 바꾸는 원 모양의 불을 내뿜음.	向四周喷出环状烈焰，将邪恶块块变成烧烤块块！	 用火焰燃燒敵人	火の大輪を解放し、Bad-BlocksをBurnt-Blocksに変えます。	اطلاق حلقة نارية ضخمة,تحويل البيتس الاشرار لبيتس محروقة	ปลดปล่อยวงแหวนไฟ เปลี่ยน Bad-Blocks เป็น Burnt-Blocks
tower_desc_dragon_1	More {damage|damage} `Improved {距离|距离} `bigger {splash|splash} `stronger {burn|ability}	More {damage|damage} `Improved {距离|距离} `bigger {splash|splash} `stronger {burn|ability}	More {damage|damage} `Improved {距离|距离} `bigger {splash|splash} `stronger {burn|ability}	More {damage|damage} `Improved {距离|距离} `bigger {splash|splash} `stronger {burn|ability}	More {damage|damage} `Improved {距离|距离} `bigger {splash|splash} `stronger {burn|ability}	More {damage|damage} `Improved {距离|距离} `bigger {splash|splash} `stronger {burn|ability}	More {damage|damage} `Improved {距离|距离} `bigger {splash|splash} `stronger {burn|ability}	More {damage|damage} `Improved {距离|距离} `bigger {splash|splash} `stronger {burn|ability}	更多{伤害|damage} `强化{射程|range} `扩大{溅射范围|splash} `提高{烈焰|ability}能力	More {damage|damage} `Improved {距离|距离} `bigger {splash|splash} `stronger {burn|ability}	More {damage|damage} `Improved {距离|距离} `bigger {splash|splash} `stronger {burn|ability}	More {damage|damage} `Improved {距离|距离} `bigger {splash|splash} `stronger {burn|ability}	More {damage|damage} `Improved {距离|距离} `bigger {splash|splash} `stronger {burn|ability}
tower_desc_dragon_2	More {damage!|damage} `Increased {speed|speed} `stronger {burn!|ability} `bigger {splash!|splash}	More {damage!|damage} `Increased {speed|speed} `stronger {burn!|ability} `bigger {splash!|splash}	More {damage!|damage} `Increased {speed|speed} `stronger {burn!|ability} `bigger {splash!|splash}	More {damage!|damage} `Increased {speed|speed} `stronger {burn!|ability} `bigger {splash!|splash}	More {damage!|damage} `Increased {speed|speed} `stronger {burn!|ability} `bigger {splash!|splash}	More {damage!|damage} `Increased {speed|speed} `stronger {burn!|ability} `bigger {splash!|splash}	More {damage!|damage} `Increased {speed|speed} `stronger {burn!|ability} `bigger {splash!|splash}	More {damage!|damage} `Increased {speed|speed} `stronger {burn!|ability} `bigger {splash!|splash}	更多{伤害!|damage} `提高{攻速|speed} `提高{烈焰!|ability}能力 `扩大{溅射范围!|splash}	More {damage!|damage} `Increased {speed|speed} `stronger {burn!|ability} `bigger {splash!|splash}	More {damage!|damage} `Increased {speed|speed} `stronger {burn!|ability} `bigger {splash!|splash}	More {damage!|damage} `Increased {speed|speed} `stronger {burn!|ability} `bigger {splash!|splash}	More {damage!|damage} `Increased {speed|speed} `stronger {burn!|ability} `bigger {splash!|splash}
tower_desc_dragon_3	More {damage!!|damage}  `Improved {距离|距离} `bigger {splash|splash} `stronger {burn!!|ability}	More {damage!!|damage}  `Improved {距离|距离} `bigger {splash|splash} `stronger {burn!!|ability}	More {damage!!|damage}  `Improved {距离|距离} `bigger {splash|splash} `stronger {burn!!|ability}	More {damage!!|damage}  `Improved {距离|距离} `bigger {splash|splash} `stronger {burn!!|ability}	More {damage!!|damage}  `Improved {距离|距离} `bigger {splash|splash} `stronger {burn!!|ability}	More {damage!!|damage}  `Improved {距离|距离} `bigger {splash|splash} `stronger {burn!!|ability}	More {damage!!|damage}  `Improved {距离|距离} `bigger {splash|splash} `stronger {burn!!|ability}	More {damage!!|damage}  `Improved {距离|距离} `bigger {splash|splash} `stronger {burn!!|ability}	更多{伤害!!|damage}  `强化{射程|range} `扩大{溅射范围|splash} `提高{烈焰!!|ability}能力	More {damage!!|damage}  `Improved {距离|距离} `bigger {splash|splash} `stronger {burn!!|ability}	More {damage!!|damage}  `Improved {距离|距离} `bigger {splash|splash} `stronger {burn!!|ability}	More {damage!!|damage}  `Improved {距离|距离} `bigger {splash|splash} `stronger {burn!!|ability}	More {damage!!|damage}  `Improved {距离|距离} `bigger {splash|splash} `stronger {burn!!|ability}
tower_desc_dragon_4	More {damage!!!|damage} `Increased {speed|speed} `stronger {burn!!!|ability}	More {damage!!!|damage} `Increased {speed|speed} `stronger {burn!!!|ability}	More {damage!!!|damage} `Increased {speed|speed} `stronger {burn!!!|ability}	More {damage!!!|damage} `Increased {speed|speed} `stronger {burn!!!|ability}	More {damage!!!|damage} `Increased {speed|speed} `stronger {burn!!!|ability}	More {damage!!!|damage} `Increased {speed|speed} `stronger {burn!!!|ability}	More {damage!!!|damage} `Increased {speed|speed} `stronger {burn!!!|ability}	More {damage!!!|damage} `Increased {speed|speed} `stronger {burn!!!|ability}	更多{伤害!!!|damage} `提高{攻速|speed} `提高{烈焰!!!|ability}能力	More {damage!!!|damage} `Increased {speed|speed} `stronger {burn!!!|ability}	More {damage!!!|damage} `Increased {speed|speed} `stronger {burn!!!|ability}	More {damage!!!|damage} `Increased {speed|speed} `stronger {burn!!!|ability}	More {damage!!!|damage} `Increased {speed|speed} `stronger {burn!!!|ability}
tower_name_dwarf	Viking	Viking	Vichingo	Viking	Vikingo	Викинг	Viking	바이킹	维京战士	海盜	バイキング	قرصان اسكندنافي	ไวกิ้ง
tower_desc_dwarf_0	Swings massive axe to wreck Bad-Blocks.	Échappe une hache massive pour détruire Mal-Morceaux.	Fa oscillare la sua potente ascia per distruggere i Block Malvagi	Schaukeln massive ax Bad-Blocks zu ruinieren.	Balancea una hacha masiva para destrozar a los Blocks Malos.	Размахивает массивным топором, чтобы разрушить Плохие Биты.	Maneja um destrutivo machada para alvejar Bad-Blocks	나쁜 비트들 에게 커다란 도끼를 휘두름	挥舞着战斧不断击打邪恶块块	 用斧頭攻擊	巨大な斧を振ってBad-Blocksを破壊する。	تحريك الضخمة لتحطيم البيتس الاشرار	แกว่งขวานยักษ์ทำลาย Bad-Blocks
tower_desc_dwarf_1	more {damage|damage} `Increased {speed|speed}	more {damage|damage} `Increased {speed|speed}	more {damage|damage} `Increased {speed|speed}	more {damage|damage} `Increased {speed|speed}	more {damage|damage} `Increased {speed|speed}	more {damage|damage} `Increased {speed|speed}	more {damage|damage} `Increased {speed|speed}	more {damage|damage} `Increased {speed|speed}	更多{伤害|damage} `提高{攻速|speed}	more {damage|damage} `Increased {speed|speed}	more {damage|damage} `Increased {speed|speed}	more {damage|damage} `Increased {speed|speed}	more {damage|damage} `Increased {speed|speed}
tower_desc_dwarf_2	more {damage!|damage}  `bigger {splash|splash}  `improved {距离|距离}	more {damage!|damage}  `bigger {splash|splash}  `improved {距离|距离}	more {damage!|damage}  `bigger {splash|splash}  `improved {距离|距离}	more {damage!|damage}  `bigger {splash|splash}  `improved {距离|距离}	more {damage!|damage}  `bigger {splash|splash}  `improved {距离|距离}	more {damage!|damage}  `bigger {splash|splash}  `improved {距离|距离}	more {damage!|damage}  `bigger {splash|splash}  `improved {距离|距离}	more {damage!|damage}  `bigger {splash|splash}  `improved {距离|距离}	更多{伤害!|damage}  `扩大{溅射范围|splash}  `强化{射程|range}	more {damage!|damage}  `bigger {splash|splash}  `improved {距离|距离}	more {damage!|damage}  `bigger {splash|splash}  `improved {距离|距离}	more {damage!|damage}  `bigger {splash|splash}  `improved {距离|距离}	more {damage!|damage}  `bigger {splash|splash}  `improved {距离|距离}
tower_desc_dwarf_3	more {damage!!|damage} `bigger {splash!|splash}	more {damage!!|damage} `bigger {splash!|splash}	more {damage!!|damage} `bigger {splash!|splash}	more {damage!!|damage} `bigger {splash!|splash}	more {damage!!|damage} `bigger {splash!|splash}	more {damage!!|damage} `bigger {splash!|splash}	more {damage!!|damage} `bigger {splash!|splash}	more {damage!!|damage} `bigger {splash!|splash}	更多{伤害!!|damage} `扩大{溅射范围!|splash}	more {damage!!|damage} `bigger {splash!|splash}	more {damage!!|damage} `bigger {splash!|splash}	more {damage!!|damage} `bigger {splash!|splash}	more {damage!!|damage} `bigger {splash!|splash}
tower_desc_dwarf_4	more {damage!!!|damage}  `Increased {speed|speed}	more {damage!!!|damage}  `Increased {speed|speed}	more {damage!!!|damage}  `Increased {speed|speed}	more {damage!!!|damage}  `Increased {speed|speed}	more {damage!!!|damage}  `Increased {speed|speed}	more {damage!!!|damage}  `Increased {speed|speed}	more {damage!!!|damage}  `Increased {speed|speed}	more {damage!!!|damage}  `Increased {speed|speed}	更多{伤害!!!|damage}  `提高{攻速|speed}	more {damage!!!|damage}  `Increased {speed|speed}	more {damage!!!|damage}  `Increased {speed|speed}	more {damage!!!|damage}  `Increased {speed|speed}	more {damage!!!|damage}  `Increased {speed|speed}
tower_name_flame	Flame	Flamme	Fiamma	Flamme	Flama	Пламя	Chamas	화염	烈火	火焰	火炎	لهب	เปลวไฟ
tower_desc_flame_0	Spits deadly fireballs that burn.	Spits des boules de feu mortelles qui brûlent.	Sputa palle di fuoco mortali che bruciano.	Spuckt tödliche Feuerbälle, die brennen.	Escupe mortiferas bolas de fuego que queman	Плюется смертельными огненными шарами, которые обжигают.	Cospe bolas de fogo mortais.	무시 무시한 화염을 내뱉음	喷射致命的燃烧火球	 呼吸火，燒敵人	火傷する致命的な火の玉を吐き出す	سفد كرات النار المحرقة	พ่นลูกไฟพิฆาตและเผาไหม้
tower_desc_flame_1	more {damage|damage} `stronger {burn|ability} `Increased {speed|speed}	more {damage|damage} `stronger {burn|ability} `Increased {speed|speed}	more {damage|damage} `stronger {burn|ability} `Increased {speed|speed}	more {damage|damage} `stronger {burn|ability} `Increased {speed|speed}	more {damage|damage} `stronger {burn|ability} `Increased {speed|speed}	more {damage|damage} `stronger {burn|ability} `Increased {speed|speed}	more {damage|damage} `stronger {burn|ability} `Increased {speed|speed}	more {damage|damage} `stronger {burn|ability} `Increased {speed|speed}	更多{伤害|damage} `提高{烈焰|ability}能力 `提高{攻速|speed}	more {damage|damage} `stronger {burn|ability} `Increased {speed|speed}	more {damage|damage} `stronger {burn|ability} `Increased {speed|speed}	more {damage|damage} `stronger {burn|ability} `Increased {speed|speed}	more {damage|damage} `stronger {burn|ability} `Increased {speed|speed}
tower_desc_flame_2	more {damage!|damage} `stronger {burn!|ability} `Increased {speed!|speed}  `improved {距离|距离}	more {damage!|damage} `stronger {burn!|ability} `Increased {speed!|speed}  `improved {距离|距离}	more {damage!|damage} `stronger {burn!|ability} `Increased {speed!|speed}  `improved {距离|距离}	more {damage!|damage} `stronger {burn!|ability} `Increased {speed!|speed}  `improved {距离|距离}	more {damage!|damage} `stronger {burn!|ability} `Increased {speed!|speed}  `improved {距离|距离}	more {damage!|damage} `stronger {burn!|ability} `Increased {speed!|speed}  `improved {距离|距离}	more {damage!|damage} `stronger {burn!|ability} `Increased {speed!|speed}  `improved {距离|距离}	more {damage!|damage} `stronger {burn!|ability} `Increased {speed!|speed}  `improved {距离|距离}	更多{伤害!|damage} `提高{烈焰!|ability}能力 `提高{攻速!|speed}  `强化{射程|range}	more {damage!|damage} `stronger {burn!|ability} `Increased {speed!|speed}  `improved {距离|距离}	more {damage!|damage} `stronger {burn!|ability} `Increased {speed!|speed}  `improved {距离|距离}	more {damage!|damage} `stronger {burn!|ability} `Increased {speed!|speed}  `improved {距离|距离}	more {damage!|damage} `stronger {burn!|ability} `Increased {speed!|speed}  `improved {距离|距离}
